Employee_number,Employee_name,Employee_age,Maritial_Status,Current_Salary,Number_of_Children,years_experience,past_projects,current_projects,Divorced_earlier,Father_alive,Mother_alive,performance_rating,Education_level,Department,Role,Job_Satisfaction,Work_Life_Balance,is_outlier
13193,Sarah Iyer,37,False,75043,3,0,0,3,No,Yes,Yes,3,Bachelor's,R&D,Scientist,8.802797212767796,2.1779425573863156,0
13195,Michael Brown,44,False,85379,1,20,13,3,No,Yes,Yes,2,Bachelor's,Support,Support Engineer,7.277001393586864,1.0,0
13202,Sarah Davis,18,False,96284,1,0,0,3,Yes,Yes,Yes,3,Bachelor's,Engineering,Software Engineer,9.916070533319257,10.0,0
13210,Daniel Singh,34,True,73315,1,13,11,0,No,Yes,Yes,5,Master's,Finance,Analyst,7.611451825228303,3.106875676464372,0
13211,Luke Iyer,37,True,88590,1,9,0,0,Yes,Yes,Yes,2,High School,HR,HR Executive,10.0,2.996073538764134,0
13219,Emily Patel,32,False,67973,3,1,8,3,Yes,Yes,No,3,Bachelor's,Sales,Sales Manager,10.0,4.491107929736078,0
13221,Karen Sharma,46,False,88177,1,21,1,1,No,Yes,No,3,Diploma,Finance,Analyst,4.961758812381244,6.2593224662120335,0
13222,Vikram Davis,24,True,81265,0,0,14,2,No,Yes,Yes,4,Diploma,Operations,Ops Manager,10.0,2.647077049371016,0
13224,Luke Miller,34,False,73766,0,10,0,0,No,Yes,Yes,2,Bachelor's,Operations,Ops Manager,7.5359479106528955,5.168449270448059,0
13225,John Smith,31,False,90690,1,3,12,0,No,No,Yes,3,Bachelor's,Finance,Analyst,6.33181443683725,1.0,0
13227,Karen Lewis,35,True,91503,2,0,5,1,Yes,Yes,No,3,High School,Operations,Ops Manager,10.0,3.7421994214253522,0
13230,Rohit Gupta,26,False,61434,0,0,5,0,No,Yes,Yes,3,Master's,Finance,Analyst,5.558523717602187,8.687210172250692,0
13234,Daniel Iyer,48,False,70224,1,26,0,2,Yes,Yes,Yes,2,High School,Sales,Account Executive,4.4891017228600205,6.213050081595568,0
13235,Arun Davis,42,True,86840,0,13,4,2,Yes,Yes,Yes,3,High School,Sales,Sales Manager,10.0,1.0,0
13237,Aisha Walker,38,True,75200,3,0,14,0,No,Yes,Yes,3,Diploma,Engineering,Software Engineer,9.352323443053699,7.962693542917328,0
13238,Linda Patel,38,False,60397,1,14,8,2,Yes,Yes,Yes,3,High School,HR,HR Executive,4.63941056116788,10.0,0
13243,Karen Walker,39,True,59264,2,18,3,1,No,Yes,Yes,5,Master's,Support,Customer Specialist,10.0,1.5613912259912777,0
13245,Rohit Davis,21,False,96864,0,0,10,2,No,No,Yes,4,Bachelor's,Support,Support Engineer,9.262006853292394,5.531095990948108,0
13249,Leo Davis,24,True,62806,0,0,3,0,No,Yes,Yes,3,Bachelor's,Engineering,Software Engineer,9.022057490988113,3.8261547787720245,0
13250,Leo Iyer,22,True,62603,1,0,7,3,Yes,Yes,Yes,4,PhD,Sales,Sales Manager,5.972303286943346,4.853951143881618,0
13251,Rohit Iyer,35,True,79727,3,14,1,3,No,Yes,Yes,4,PhD,HR,HR Executive,10.0,4.0911545114081385,0
13256,Luke Sharma,58,True,83628,0,15,5,2,No,Yes,Yes,4,Diploma,Finance,Senior Analyst,6.704890708952956,4.884637576746396,0
13257,Leo Walker,26,False,62716,0,5,4,2,No,Yes,Yes,4,Master's,Support,Support Engineer,10.0,4.271101023248554,0
13260,Priya Anderson,39,False,73922,0,15,4,2,Yes,No,No,3,Bachelor's,Support,Customer Specialist,6.576471647807525,9.880140204844052,0
13263,Sarah Thompson,23,True,91441,0,0,1,3,No,Yes,Yes,3,Bachelor's,Support,Customer Specialist,10.0,3.6641053700920176,0
13266,Sophia Lewis,26,False,95620,1,0,10,2,No,Yes,No,2,Diploma,R&D,Scientist,10.0,5.078214344471324,0
13270,Aisha Davis,34,False,98659,1,9,7,1,No,Yes,No,3,Diploma,Support,Support Engineer,10.0,1.0,0
13271,David Williams,18,False,66677,3,0,6,1,No,Yes,Yes,4,Bachelor's,Engineering,DevOps Engineer,9.945035041685545,1.0,0
13278,Aisha Wilson,34,False,74980,1,0,12,1,No,Yes,Yes,3,High School,HR,HR Manager,6.495575245576254,1.4932646050799798,0
13281,Nina Kumar,23,True,79554,1,0,1,0,Yes,Yes,Yes,2,Bachelor's,R&D,Researcher,5.0885940117564825,5.294438948376354,0
13286,Michael Williams,34,True,69430,3,12,7,1,Yes,Yes,Yes,3,Bachelor's,Operations,Ops Manager,7.507504455682801,4.6966151758977075,0
13296,Karen Thomas,27,True,66190,3,0,2,0,No,Yes,Yes,5,Bachelor's,R&D,Scientist,8.747688386018737,7.743994141136508,0
13301,Aisha Davis,55,True,91445,0,26,14,2,No,Yes,Yes,2,Diploma,Operations,Operations Coordinator,10.0,3.6934409660584357,0
13302,Michael Patel,51,True,97530,0,25,1,0,No,Yes,No,4,Diploma,Finance,Analyst,8.967088554932657,4.0512556059679525,0
13306,Michael Johnson,44,True,73435,1,23,12,0,No,Yes,Yes,4,High School,Finance,Analyst,5.08386900051771,4.992639580743877,0
13309,John Kumar,39,True,93253,1,2,6,1,No,Yes,No,3,Bachelor's,Support,Support Engineer,10.0,4.116640359661583,0
13313,John Johnson,23,True,73542,1,0,3,0,No,Yes,No,3,Bachelor's,R&D,Researcher,10.0,3.933103018954129,0
13315,Kiran Taylor,42,True,92125,3,18,0,2,No,Yes,Yes,3,Bachelor's,Sales,Sales Manager,10.0,10.0,0
13320,Emily Thomas,26,True,70566,1,1,7,3,No,Yes,Yes,3,Master's,Engineering,Software Engineer,10.0,3.939904157353216,0
13322,Sarah Kumar,38,False,97200,3,0,12,1,No,Yes,Yes,4,Master's,Sales,Sales Manager,10.0,9.1535082559021,0
13324,David Gupta,26,True,63270,0,0,7,2,Yes,Yes,Yes,3,Diploma,Engineering,ML Engineer,10.0,4.350318999897706,0
13327,Luke Miller,35,False,78008,3,8,4,2,No,Yes,No,2,Master's,Finance,Senior Analyst,10.0,2.6815479354770506,0
13328,Sarah Thomas,32,True,83812,1,11,0,2,Yes,Yes,Yes,3,Diploma,Support,Support Engineer,10.0,3.0063989930441473,0
13330,Daniel Miller,28,False,63152,0,7,1,1,No,Yes,No,5,High School,Engineering,Software Engineer,7.2061563971635225,4.2476005851500425,0
13331,Vikram Anderson,25,False,75868,0,0,12,0,Yes,Yes,Yes,2,Bachelor's,Operations,Ops Manager,7.720812435240678,7.3840478853062095,0
13333,Kiran Kumar,37,True,62376,1,7,14,3,Yes,Yes,Yes,3,Bachelor's,Engineering,DevOps Engineer,2.2582249656250637,5.722653232328126,0
13335,Priya Thompson,28,False,77348,0,0,0,0,No,No,No,4,Master's,Operations,Ops Manager,10.0,1.0,0
13337,Ananya Thompson,31,True,68361,3,7,7,3,Yes,Yes,No,4,Bachelor's,Support,Customer Specialist,10.0,2.2791838473940755,0
13341,Vikram Iyer,26,False,76659,2,0,8,0,Yes,Yes,Yes,1,Bachelor's,Finance,Senior Analyst,10.0,6.611229140286943,0
13344,Leo Anderson,30,True,74996,0,6,5,2,No,Yes,Yes,5,Bachelor's,R&D,Researcher,10.0,7.071566315671585,0
13345,Linda Anderson,35,True,61658,3,14,11,0,No,Yes,Yes,3,Master's,Support,Support Engineer,3.5229761011295233,1.1161039963591786,0
13347,Sarah Walker,31,True,62975,2,7,10,3,Yes,Yes,Yes,5,High School,Finance,Analyst,10.0,9.368515693586158,0
13348,Kiran Anderson,43,True,76336,3,22,2,1,No,Yes,Yes,3,Diploma,Support,Support Engineer,9.027824715604147,1.0,0
13349,Olivia Taylor,24,True,96786,1,0,14,3,No,Yes,Yes,5,Bachelor's,HR,HR Manager,3.1359239795960456,2.8651270193436833,0
13351,Linda Davis,43,False,73791,0,16,12,1,No,Yes,Yes,2,Bachelor's,Engineering,Software Engineer,6.362069929805388,7.228823668798809,0
13354,Sophia Davis,44,False,87691,2,7,12,1,No,Yes,Yes,3,Bachelor's,Finance,Senior Analyst,8.29963378754482,1.0,0
13355,Rohit Anderson,48,True,82107,1,17,7,2,No,Yes,Yes,3,PhD,Finance,Analyst,7.746231795582834,5.906006431843577,0
13356,Karen Smith,49,True,82959,2,11,10,1,No,Yes,Yes,3,Diploma,Finance,Senior Analyst,7.2664174731605184,3.105950965800662,0
13358,Arun Patel,39,False,71376,0,5,5,0,No,Yes,No,4,Bachelor's,Finance,Senior Analyst,10.0,7.579335329442463,0
13360,Emily Walker,24,False,64724,2,3,4,1,No,No,Yes,1,Diploma,Sales,Account Executive,3.527350715797178,5.701937555976404,0
13364,Olivia Gupta,62,False,71588,1,36,5,2,No,Yes,Yes,3,Master's,Operations,Operations Coordinator,10.0,2.8579494860677106,0
13374,Rohit Walker,43,True,70641,1,18,12,1,No,Yes,Yes,3,Bachelor's,Engineering,DevOps Engineer,10.0,3.7590520474887477,0
13376,Linda Walker,51,True,63606,0,16,11,3,Yes,Yes,Yes,3,Bachelor's,Operations,Ops Manager,10.0,6.094833086129389,0
13381,Michael Sharma,39,True,69499,2,13,3,0,No,No,Yes,4,Bachelor's,Engineering,DevOps Engineer,10.0,10.0,0
13383,Sophia Davis,48,True,61404,1,15,1,3,Yes,Yes,Yes,4,Diploma,Operations,Ops Manager,8.112719417879529,2.7079284092797544,0
13386,Linda Williams,22,False,95623,0,0,5,3,No,Yes,Yes,3,Bachelor's,R&D,Researcher,7.8286914448919545,4.621000789403935,0
13387,David Johnson,18,False,86016,0,0,13,3,Yes,Yes,Yes,2,Bachelor's,HR,HR Manager,8.386216667411334,8.087804198251673,0
13394,Kiran Sharma,29,True,70451,0,4,8,3,No,Yes,Yes,3,Bachelor's,Finance,Analyst,4.850809306707967,6.905576710221688,0
13396,John Brown,28,False,74452,1,0,0,1,Yes,Yes,No,5,High School,Engineering,ML Engineer,6.359381687702264,2.652924494937915,0
13404,Ananya Thomas,24,True,64271,1,0,2,0,No,Yes,Yes,2,High School,Support,Support Engineer,7.372918555739425,4.257923583515394,0
13406,Luke Smith,33,False,77050,2,2,0,1,No,Yes,Yes,3,Bachelor's,Engineering,Software Engineer,4.491771353080663,2.9436927083789595,0
13407,Vikram Williams,31,False,62177,2,7,7,3,No,Yes,No,3,Diploma,Operations,Operations Coordinator,5.237641898316359,4.049152213824106,0
13410,Karen Singh,42,True,63751,3,4,9,3,No,Yes,Yes,3,Diploma,Support,Customer Specialist,10.0,4.312478769639165,0
13414,Ananya Thompson,29,False,92342,3,0,6,0,No,Yes,Yes,4,High School,Sales,Sales Manager,10.0,6.943468191749778,0
13415,Vikram Thompson,40,True,81296,0,18,8,1,No,Yes,No,3,Diploma,Engineering,Software Engineer,10.0,1.0,0
13417,Luke Johnson,29,True,93619,1,0,2,0,No,Yes,Yes,3,Master's,Operations,Operations Coordinator,10.0,4.255462772725843,0
13422,Linda Walker,32,False,80004,2,0,8,1,No,Yes,Yes,3,Bachelor's,Support,Customer Specialist,9.100230899905235,2.612866352857404,0
13423,Michael Davis,28,True,71454,1,5,14,0,No,Yes,Yes,3,Master's,Finance,Senior Analyst,10.0,3.6005421435449585,0
13426,Priya Davis,33,True,96287,3,5,7,1,No,Yes,No,2,Master's,HR,HR Manager,9.541650317418927,2.769003182212285,0
13427,Priya Thompson,33,True,63053,3,10,3,3,No,Yes,Yes,3,Bachelor's,HR,HR Executive,5.316531955100837,4.886029464180506,0
13428,Luke Lewis,22,True,68463,0,0,12,1,No,No,No,3,PhD,Engineering,ML Engineer,10.0,1.0,0
13433,Nina Miller,39,False,76024,0,12,6,3,Yes,Yes,Yes,3,Bachelor's,Sales,Account Executive,3.443692889148269,1.7702294486463415,0
13435,David Johnson,36,True,85358,2,5,4,3,No,Yes,Yes,4,Bachelor's,HR,HR Executive,10.0,3.9321443332495214,0
13446,Sarah Patel,31,False,65755,0,0,2,2,No,Yes,Yes,5,Diploma,Operations,Ops Manager,7.674666636511267,10.0,0
13448,Linda Thompson,32,True,70871,1,6,1,0,No,Yes,No,2,High School,Finance,Senior Analyst,9.43552411100737,5.270136907808487,0
13456,Emily Sharma,45,True,77608,1,20,14,3,No,Yes,Yes,3,Master's,Engineering,Software Engineer,9.251873274130755,3.6812501985404995,0
13460,Karen Brown,33,False,87378,2,6,2,2,Yes,Yes,Yes,3,Bachelor's,HR,HR Executive,10.0,2.2064247182266286,0
13461,Priya Walker,56,False,67645,2,33,12,2,No,Yes,Yes,3,Bachelor's,Operations,Ops Manager,5.534336069612259,5.490610416392268,0
13464,Ananya Lewis,44,False,66813,2,22,0,0,No,Yes,No,2,High School,HR,HR Manager,8.341373711095484,2.255369693647434,0
13482,Karen Smith,38,True,67774,0,9,6,3,No,Yes,Yes,5,High School,Finance,Analyst,5.06602877797475,9.632172738511706,0
13485,Rohit Taylor,34,True,77114,2,7,0,1,No,Yes,Yes,2,Diploma,Engineering,Software Engineer,10.0,9.283596897693737,0
13486,David Anderson,38,True,74101,0,13,1,2,No,Yes,Yes,3,Bachelor's,HR,HR Manager,10.0,1.9602506906410686,0
13490,Karen Smith,30,False,62424,0,0,13,3,Yes,No,Yes,4,Bachelor's,Support,Support Engineer,4.844207019147026,5.745826844044894,0
13491,John Taylor,47,False,69620,0,23,6,1,No,Yes,No,4,Bachelor's,Support,Customer Specialist,4.58986430389178,1.7723913648177563,0
13494,Nina Brown,30,True,70870,3,7,7,3,No,Yes,Yes,3,Bachelor's,HR,HR Manager,8.955021093710025,6.469846583819514,0
13495,Leo Gupta,28,False,59863,3,1,7,0,No,Yes,Yes,3,Bachelor's,Finance,Analyst,10.0,5.214945671631748,0
13498,Daniel Thompson,34,False,75335,0,1,12,2,No,Yes,No,3,Diploma,HR,HR Manager,9.737289462335045,1.923926251243131,0
13501,Nina Gupta,46,True,80577,1,4,1,3,No,No,No,3,Bachelor's,R&D,Researcher,10.0,3.836379164335007,0
13502,Luke Lewis,34,False,60783,3,13,6,3,No,No,Yes,2,Master's,Sales,Account Executive,6.260122998980348,8.98965286840445,0
13505,Emily Sharma,35,True,70278,3,12,3,0,No,Yes,Yes,2,Bachelor's,Operations,Operations Coordinator,10.0,2.821372481511181,0
13511,Linda Williams,28,False,79643,2,5,3,0,No,Yes,No,3,Bachelor's,Engineering,DevOps Engineer,10.0,1.4061769206198989,0
13512,David Williams,41,False,72489,1,14,13,1,No,Yes,No,4,High School,Operations,Ops Manager,8.61691562087671,5.789854402989416,0
13513,Linda Johnson,42,True,90188,1,6,7,0,Yes,Yes,Yes,5,Master's,Support,Support Engineer,10.0,7.802213031569692,0
13517,Sophia Singh,25,False,90327,2,0,14,2,Yes,Yes,Yes,3,High School,Support,Support Engineer,10.0,1.1281278737837752,0
13518,Sarah Wilson,65,True,70646,0,42,4,1,No,Yes,No,3,High School,Sales,Account Executive,7.886703287002438,6.7045688506178385,0
13519,Nina Smith,21,True,79397,3,0,3,0,No,No,Yes,3,Diploma,Operations,Operations Coordinator,5.590649774685043,5.854196220671261,0
13522,Arun Thomas,41,True,63297,2,15,3,0,No,Yes,Yes,4,Bachelor's,Finance,Senior Analyst,7.118585099612492,6.49377534957411,0
13523,Sophia Thomas,33,True,73080,2,0,11,0,No,Yes,No,3,Bachelor's,Operations,Operations Coordinator,10.0,2.493919895349098,0
13525,Ananya Davis,40,False,62162,2,18,6,3,No,Yes,Yes,4,High School,Sales,Account Executive,7.904055050646604,7.451843473609053,0
13527,Arun Gupta,33,False,74304,0,7,8,2,No,Yes,Yes,3,Bachelor's,HR,HR Executive,10.0,2.2132698161676236,0
13530,Priya Kumar,34,False,62877,1,10,7,3,No,Yes,Yes,4,PhD,Operations,Ops Manager,10.0,7.91732860577685,0
13533,Olivia Kumar,20,True,80350,0,0,13,1,No,Yes,Yes,5,Diploma,Support,Customer Specialist,9.698685183092081,3.0200489400818915,0
13536,Daniel Taylor,44,False,83074,2,21,3,1,No,Yes,No,3,Bachelor's,Sales,Sales Manager,7.685043672101768,1.9178402155946719,0
13538,Rohit Lewis,36,True,61612,0,12,3,0,No,Yes,Yes,2,Master's,R&D,Researcher,4.353339427184346,1.0,0
13541,Ananya Gupta,30,True,72174,0,0,3,3,No,Yes,Yes,2,Diploma,Support,Support Engineer,10.0,1.0,0
13543,Leo Patel,25,False,72324,0,0,14,0,Yes,Yes,Yes,1,Diploma,Sales,Sales Manager,9.20728581591219,5.993608221101679,0
13544,Luke Lewis,38,True,65339,3,12,9,3,No,Yes,No,4,Bachelor's,Sales,Account Executive,6.565575775525698,1.2400650186892492,0
13545,John Patel,23,False,71234,0,0,7,1,No,Yes,Yes,3,High School,Operations,Ops Manager,9.58471887360895,5.517156552936561,0
13546,Leo Patel,27,True,60717,3,0,14,3,Yes,Yes,Yes,2,Diploma,HR,HR Manager,7.924351489502608,8.118603199435409,0
13549,Linda Lewis,47,True,85092,0,24,14,1,No,Yes,No,3,Diploma,R&D,Researcher,7.197643259133754,5.226009726771311,0
13550,Karen Wilson,27,True,99293,0,4,8,0,No,Yes,Yes,3,Diploma,Engineering,DevOps Engineer,10.0,10.0,0
13554,Emily Patel,44,False,68835,2,19,3,1,No,Yes,Yes,3,Bachelor's,Engineering,DevOps Engineer,7.470993747168121,5.027318348450999,0
13557,John Walker,45,False,79787,1,13,5,3,Yes,Yes,Yes,4,Bachelor's,R&D,Researcher,10.0,7.989020958273602,0
13559,Sarah Singh,40,True,91668,2,10,12,1,No,Yes,Yes,1,Master's,Engineering,ML Engineer,5.288164696912529,5.917432691745636,0
13571,John Wilson,43,True,65394,1,14,0,0,No,Yes,No,2,Master's,Sales,Sales Manager,9.351963378402852,1.2814736047963802,0
13573,Priya Sharma,22,True,75290,0,0,7,0,No,Yes,No,2,PhD,Finance,Senior Analyst,5.690372712787219,9.104064026387455,0
13574,Emily Smith,50,False,96116,3,19,4,1,No,Yes,Yes,3,Diploma,HR,HR Executive,6.452171793695247,2.1311569717454226,0
13575,Leo Johnson,45,True,75296,1,21,0,3,No,Yes,Yes,2,Bachelor's,Finance,Analyst,9.53737536820539,4.0964418913775615,0
13587,Vikram Wilson,34,False,60463,1,7,2,0,No,Yes,No,3,Bachelor's,R&D,Researcher,10.0,1.5938108233061756,0
13589,Vikram Thomas,36,True,83391,2,14,0,1,No,Yes,Yes,3,Master's,Engineering,Software Engineer,10.0,8.682772986612267,0
13593,Daniel Williams,43,False,94545,1,20,8,0,No,Yes,Yes,1,Diploma,Support,Support Engineer,6.180117049442812,10.0,0
13595,Rohit Brown,18,True,95453,3,0,8,2,No,No,Yes,5,Bachelor's,Sales,Sales Manager,5.567961534529913,7.170465588300934,0
13597,Karen Davis,34,True,99745,2,4,3,0,No,Yes,Yes,2,Bachelor's,R&D,Scientist,10.0,7.935000609487759,0
13599,Daniel Anderson,33,False,67741,2,0,8,1,No,Yes,Yes,3,Diploma,Engineering,ML Engineer,10.0,6.534991296657601,0
13602,John Iyer,20,False,95273,2,0,1,0,No,Yes,Yes,3,Bachelor's,Engineering,DevOps Engineer,10.0,5.433282389751008,0
13605,Linda Thompson,29,False,95257,1,0,10,3,No,Yes,Yes,5,Master's,Engineering,DevOps Engineer,2.492292782375573,8.776768151892343,0
13608,Luke Kumar,42,False,90426,2,13,0,2,No,Yes,Yes,3,Bachelor's,R&D,Scientist,7.227756135773801,4.489379512025443,0
13609,Emily Gupta,31,False,76627,0,3,1,0,No,Yes,No,3,High School,Support,Support Engineer,10.0,7.853288479821263,0
13614,Olivia Brown,19,False,73048,1,0,5,0,No,Yes,Yes,3,High School,Engineering,ML Engineer,2.680884111920741,8.825573688622903,0
13618,Nina Patel,37,True,92854,3,11,9,1,No,Yes,Yes,4,High School,Engineering,ML Engineer,9.765775733287164,2.2353765840003996,0
13619,Nina Williams,40,False,61008,2,1,11,2,No,Yes,Yes,5,PhD,HR,HR Executive,10.0,1.6838272700227108,0
13620,Sarah Wilson,18,True,72043,1,0,9,1,No,No,Yes,2,High School,Support,Customer Specialist,6.769120407076908,4.484848533514719,0
13621,Aisha Johnson,24,False,60238,1,0,2,0,No,Yes,Yes,5,PhD,Sales,Account Executive,7.838312307993995,5.99746510449345,0
13629,Aisha Brown,46,True,69985,0,23,0,2,Yes,Yes,Yes,3,Bachelor's,Engineering,Software Engineer,8.14776695438262,4.2406844850484955,0
13631,Luke Patel,44,False,68887,0,15,12,0,Yes,Yes,Yes,5,High School,Finance,Senior Analyst,10.0,1.0,0
13636,Sophia Lewis,29,False,88232,0,5,13,1,No,Yes,Yes,3,Diploma,Support,Customer Specialist,10.0,7.280152337913647,0
13637,Karen Gupta,32,False,67277,0,9,5,1,Yes,Yes,Yes,5,Bachelor's,Finance,Analyst,10.0,1.9045288291928002,0
13641,Nina Singh,32,True,78795,1,0,10,1,Yes,Yes,Yes,4,Master's,Engineering,Software Engineer,10.0,3.844893327981042,0
13647,Michael Taylor,24,False,74100,1,0,4,3,Yes,Yes,Yes,3,Diploma,Sales,Account Executive,10.0,5.515805767650586,0
13657,Aisha Miller,33,True,75711,0,0,0,1,Yes,Yes,Yes,3,Bachelor's,Operations,Operations Coordinator,5.786369253788292,4.169558983722021,0
13663,Emily Thompson,34,True,74063,3,13,14,0,No,Yes,Yes,3,Bachelor's,HR,HR Manager,6.455636609797515,7.982288518663161,0
13667,Sophia Taylor,18,False,67747,1,0,6,1,Yes,Yes,Yes,3,Bachelor's,R&D,Researcher,2.898000582010553,6.865788070445939,0
13670,Arun Singh,45,False,99006,3,20,3,3,No,Yes,No,3,Master's,Operations,Operations Coordinator,8.414152960619724,4.2013777479102306,0
13671,Aisha Iyer,31,False,65559,0,6,8,0,No,Yes,Yes,3,High School,Engineering,Software Engineer,8.42812751365149,6.790077405141354,0
13672,Arun Sharma,30,False,61694,0,9,4,3,No,Yes,Yes,3,High School,R&D,Researcher,9.283895000992757,2.4753117359184627,0
13674,Aisha Gupta,35,False,80137,2,8,13,1,Yes,Yes,No,2,Bachelor's,R&D,Researcher,10.0,3.579599251214516,0
13675,Olivia Williams,42,True,74340,3,5,8,1,Yes,Yes,Yes,3,Master's,R&D,Researcher,5.170080534996744,3.719349581017599,0
13681,Sophia Walker,33,False,65841,3,8,12,1,No,Yes,Yes,3,Bachelor's,Sales,Sales Manager,10.0,3.6485110807189365,0
13682,Arun Iyer,25,False,73663,1,3,2,2,No,Yes,Yes,3,Diploma,Support,Customer Specialist,10.0,2.643099506191804,0
13687,Kiran Wilson,37,False,82311,3,11,9,3,No,Yes,Yes,5,Diploma,Support,Support Engineer,3.465904883566698,1.3398072117200144,0
13693,Aisha Thompson,25,False,82342,3,0,8,2,Yes,Yes,Yes,3,High School,HR,HR Manager,10.0,3.217231232171598,0
13694,Kiran Brown,56,True,88160,2,32,11,3,No,Yes,No,3,Diploma,Support,Support Engineer,9.201782246424244,3.573832642107046,0
13695,Karen Gupta,29,False,69066,3,4,2,3,No,Yes,Yes,4,Bachelor's,Sales,Account Executive,8.917600744115349,1.2564983402973091,0
13696,Vikram Lewis,42,False,74654,3,15,13,0,No,Yes,Yes,5,Master's,Sales,Account Executive,5.554507709960518,2.9552318305937293,0
13697,Leo Gupta,47,True,61000,3,22,0,0,Yes,Yes,Yes,4,Master's,Sales,Sales Manager,8.604953753812369,4.559363805489102,0
13705,Sophia Johnson,18,True,69052,1,0,1,1,No,Yes,Yes,5,Bachelor's,Operations,Ops Manager,8.124639505536594,4.892395047935391,0
13707,Ananya Taylor,45,True,76563,1,21,10,1,No,Yes,Yes,3,Master's,HR,HR Manager,6.3570399304223555,4.315935959888864,0
13711,Sarah Davis,34,True,61375,0,13,14,3,No,Yes,Yes,3,Diploma,R&D,Scientist,3.2825118763200605,1.6012503704276018,0
13713,John Williams,35,False,66690,1,12,7,1,No,Yes,Yes,4,Bachelor's,Support,Customer Specialist,7.8691555226205665,8.572073772464224,0
13716,Emily Lewis,31,False,72813,2,0,14,3,No,Yes,Yes,3,Bachelor's,Operations,Operations Coordinator,10.0,1.943755061471002,0
13720,Linda Patel,39,True,88517,3,3,4,0,No,No,Yes,3,Bachelor's,Sales,Sales Manager,1.0,7.218527437091591,0
13722,Michael Williams,26,True,63109,2,0,1,0,No,Yes,No,3,Diploma,Support,Support Engineer,6.7859776100595575,3.180847327959527,0
13726,Daniel Kumar,42,True,66231,0,9,6,0,No,Yes,No,3,Bachelor's,Operations,Operations Coordinator,2.3541853910215256,10.0,0
13728,Leo Iyer,28,False,61362,2,0,8,1,No,Yes,Yes,4,Diploma,Sales,Account Executive,6.1911158964782835,3.9511850825826476,0
13729,Olivia Miller,32,False,95144,2,9,10,3,Yes,Yes,Yes,4,High School,Support,Support Engineer,9.296759932503688,3.922385985005547,0
13732,Linda Walker,33,True,59882,0,9,6,1,No,Yes,Yes,4,Master's,Support,Support Engineer,3.420002492509483,1.0,0
13733,Vikram Sharma,48,True,97783,0,18,5,0,No,Yes,Yes,1,Diploma,Operations,Ops Manager,5.749918497781051,10.0,0
13736,Priya Sharma,31,False,76368,2,0,4,3,No,No,Yes,3,Master's,Engineering,Software Engineer,7.540606653370035,5.660241526581919,0
13737,Sarah Thomas,24,True,68917,3,0,13,1,Yes,Yes,Yes,2,Diploma,Operations,Ops Manager,10.0,1.0,0
13738,Sarah Patel,45,False,597917,3,23,5,1,No,Yes,Yes,3,PhD,Sales,Sales Manager,10.0,6.806190292501977,1
13740,Priya Johnson,43,False,94650,3,19,12,3,Yes,Yes,No,3,Bachelor's,Engineering,DevOps Engineer,4.317846344546843,1.0,0
13744,Rohit Smith,36,True,95538,2,13,3,3,No,Yes,Yes,4,Bachelor's,R&D,Scientist,10.0,5.175611947105033,0
13751,Aisha Singh,38,False,67879,0,6,6,0,No,Yes,Yes,4,Master's,HR,HR Executive,9.817002074920104,1.0,0
13754,Michael Kumar,31,True,77208,0,0,10,1,Yes,Yes,Yes,2,Bachelor's,HR,HR Manager,2.989087792477548,7.207468757744133,0
13755,Nina Williams,49,False,61510,3,17,3,0,Yes,Yes,Yes,3,Diploma,Engineering,ML Engineer,1.0,2.9249182225589534,0
13758,Leo Gupta,35,False,89560,1,9,8,1,No,Yes,No,3,Bachelor's,Finance,Senior Analyst,8.347157037789184,1.9215691411756373,0
13759,Arun Gupta,23,False,87821,2,0,7,1,Yes,Yes,Yes,4,Bachelor's,Engineering,Software Engineer,2.5784346853273323,9.30440035325717,0
13760,Sarah Williams,47,True,89065,1,26,1,0,No,Yes,No,4,Diploma,HR,HR Manager,5.744358122720822,2.196965477202882,0
13766,Daniel Lewis,18,False,66854,2,0,3,2,Yes,Yes,Yes,2,Diploma,Sales,Sales Manager,10.0,6.118939695898233,0
13771,Rohit Gupta,45,True,75498,1,14,1,1,No,Yes,Yes,3,High School,Finance,Senior Analyst,8.03230007810674,2.5652183401602313,0
13775,Ananya Johnson,36,False,86507,0,14,14,3,No,Yes,Yes,5,High School,HR,HR Executive,7.092042095126122,8.575132548540605,0
13779,Karen Johnson,35,True,63469,1,0,13,1,Yes,No,Yes,4,Bachelor's,Support,Customer Specialist,10.0,7.674989083417823,0
13781,David Sharma,18,False,83103,2,0,0,0,No,Yes,Yes,4,Master's,Support,Support Engineer,10.0,7.4475494323788975,0
13787,Priya Williams,30,True,67198,1,3,5,0,Yes,Yes,Yes,1,Bachelor's,HR,HR Executive,7.0521641866056655,4.864547207939923,0
13788,Nina Davis,52,True,59243,3,25,7,1,Yes,Yes,No,3,Diploma,HR,HR Executive,5.834742109065483,5.590893393454726,0
13798,David Singh,21,True,80600,0,0,9,3,No,Yes,Yes,5,Diploma,Sales,Account Executive,5.590699245394126,3.29700391032474,0
13800,Sophia Patel,40,False,59190,3,19,12,0,Yes,Yes,Yes,3,Bachelor's,Support,Customer Specialist,10.0,7.16103682820261,0
13801,Arun Taylor,40,True,83141,1,17,7,3,Yes,Yes,Yes,3,Diploma,Sales,Sales Manager,8.416575534922229,4.674731651551601,0
